X;Y;week;year
18.7354906790296;74.5616588004149;21;2013
28.1570809674034;71.1841458105577;46;2013
28.1570809674034;71.1841458105577;23;2013
28.1570809674034;71.1841458105577;43;2013
28.1570809674034;71.1841458105577;47;2012
25.5501151005095;71.1210886542933;43;2012
26.344069102855;71.0580287817012;43;2012
26.344069102855;71.0580287817012;44;2012
27.1331636539193;70.991918050292;41;2013
27.1331636539193;70.991918050292;50;2013
29.4695821615841;70.7755884386355;12;2012
29.4695821615841;70.7755884386355;7;2012
28.4539449003499;70.5900773616057;20;2012
30.7323497621779;70.3592904184543;21;2012
30.7323497621779;70.3592904184543;23;2012
30.7323497621779;70.3592904184543;20;2013
23.5822307181475;70.7057849372205;48;2012
23.5822307181475;70.7057849372205;47;2012
23.5822307181475;70.7057849372205;45;2012
23.5822307181475;70.7057849372205;43;2012
23.5822307181475;70.7057849372205;44;2012
23.5822307181475;70.7057849372205;46;2012
24.3658056628367;70.6505163939721;8;2013
25.1452586881702;70.5922171155961;24;2013
25.9204099536488;70.5309130936996;30;2013
25.9204099536488;70.5309130936996;48;2013
25.9204099536488;70.5309130936996;20;2013
25.9204099536488;70.5309130936996;43;2012
28.2183672255211;70.3292471401876;20;2012
28.2183672255211;70.3292471401876;42;2013
28.2183672255211;70.3292471401876;23;2013
28.9746638724316;70.256203201517;44;2012
29.725873677741;70.1802983289556;24;2013
29.725873677741;70.1802983289556;39;2013
29.725873677741;70.1802983289556;42;2012
29.725873677741;70.1802983289556;50;2012
29.725873677741;70.1802983289556;20;2013
30.4718630948296;70.1015636495284;37;2013
30.4718630948296;70.1015636495284;26;2013
21.8473168654286;70.5394985595642;38;2013
24.1809582718905;70.3850725305792;7;2013
24.1809582718905;70.3850725305792;17;2012
24.1809582718905;70.3850725305792;44;2012
24.9511710422363;70.3275792864581;44;2012
24.9511710422363;70.3275792864581;43;2012
24.9511710422363;70.3275792864581;20;2013
25.7172544615968;70.2671178066926;20;2012
25.7172544615968;70.2671178066926;32;2013
25.7172544615968;70.2671178066926;21;2013
25.7172544615968;70.2671178066926;20;2013
27.2363725611806;70.1373947220872;40;2013
27.9890948089367;70.0681876467009;26;2013
27.9890948089367;70.0681876467009;34;2013
30.2181934820002;69.8435284373699;43;2013
30.2181934820002;69.8435284373699;44;2012
30.2181934820002;69.8435284373699;49;2012
30.2181934820002;69.8435284373699;2;2013
30.2181934820002;69.8435284373699;1;2013
30.2181934820002;69.8435284373699;10;2013
30.2181934820002;69.8435284373699;42;2013
30.2181934820002;69.8435284373699;46;2012
23.2361627257403;70.173278500938;47;2012
23.2361627257403;70.173278500938;43;2012
23.2361627257403;70.173278500938;42;2012
23.2361627257403;70.173278500938;44;2012
24.7623492720274;70.0628173101242;23;2012
24.7623492720274;70.0628173101242;25;2013
24.7623492720274;70.0628173101242;20;2013
24.7623492720274;70.0628173101242;19;2013
24.7623492720274;70.0628173101242;4;2013
24.7623492720274;70.0628173101242;2;2013
24.7623492720274;70.0628173101242;42;2013
24.7623492720274;70.0628173101242;1;2013
24.7623492720274;70.0628173101242;20;2012
24.7623492720274;70.0628173101242;44;2012
24.7623492720274;70.0628173101242;21;2013
24.7623492720274;70.0628173101242;49;2012
24.7623492720274;70.0628173101242;21;2012
24.7623492720274;70.0628173101242;52;2012
24.7623492720274;70.0628173101242;43;2012
24.7623492720274;70.0628173101242;48;2012
24.7623492720274;70.0628173101242;31;2013
27.0214978438718;69.8751962552687;19;2013
27.0214978438718;69.8751962552687;32;2013
27.0214978438718;69.8751962552687;31;2013
27.7658858464297;69.8069102817447;27;2012
29.2408114608007;69.6618831396667;26;2013
29.2408114608007;69.6618831396667;25;2013
29.2408114608007;69.6618831396667;27;2012
29.9710873782621;69.5851989653329;30;2012
29.9710873782621;69.5851989653329;26;2013
29.9710873782621;69.5851989653329;43;2012
29.9710873782621;69.5851989653329;42;2012
29.9710873782621;69.5851989653329;22;2012
29.9710873782621;69.5851989653329;9;2012
29.9710873782621;69.5851989653329;8;2013
29.9710873782621;69.5851989653329;25;2013
29.9710873782621;69.5851989653329;32;2013
29.9710873782621;69.5851989653329;31;2013
29.9710873782621;69.5851989653329;28;2013
29.9710873782621;69.5851989653329;24;2013
19.241348264234;70.1274876695798;26;2013
21.5478163979758;70.0041087809986;39;2013
22.3106389587779;69.9569903775336;28;2013
23.0701568893914;69.90690832855;39;2013
23.0701568893914;69.90690832855;45;2012
23.0701568893914;69.90690832855;44;2012
23.0701568893914;69.90690832855;3;2012
23.0701568893914;69.90690832855;41;2013
23.0701568893914;69.90690832855;47;2012
23.0701568893914;69.90690832855;48;2012
23.0701568893914;69.90690832855;46;2012
23.0701568893914;69.90690832855;4;2013
23.0701568893914;69.90690832855;42;2012
23.0701568893914;69.90690832855;43;2012
23.0701568893914;69.90690832855;10;2013
23.0701568893914;69.90690832855;40;2013
23.0701568893914;69.90690832855;5;2013
23.0701568893914;69.90690832855;8;2013
23.0701568893914;69.90690832855;42;2013
23.0701568893914;69.90690832855;43;2013
23.0701568893914;69.90690832855;44;2013
23.0701568893914;69.90690832855;38;2013
23.0701568893914;69.90690832855;22;2013
23.0701568893914;69.90690832855;3;2013
23.0701568893914;69.90690832855;20;2013
23.8261956931988;69.8538836782748;38;2013
23.8261956931988;69.8538836782748;31;2013
26.071780306899;69.6773793722206;25;2013
26.071780306899;69.6773793722206;24;2013
26.8122760578841;69.6128141848057;34;2013
26.8122760578841;69.6128141848057;22;2013
26.8122760578841;69.6128141848057;21;2013
26.8122760578841;69.6128141848057;41;2013
